zona,bloque_tiempo,hora_post_evento,personas_sin_poder_evacuar_media,ic95_inferior,ic95_superior
Z1,1,6,3370.8333333333335,3256.645833333333,3480.8541666666665
Z1,2,12,10157.5,9998.333333333334,10316.666666666666
Z1,3,18,13815.0,13654.145833333332,13973.354166666668
Z1,4,24,13774.166666666666,13615.8125,13925.833333333334
Z1,5,30,12828.333333333334,12682.458333333334,12972.520833333334
Z1,6,36,11470.833333333334,11335.0,11606.6875
Z1,7,42,9972.5,9847.479166666666,10094.166666666666
Z1,8,48,8445.833333333334,8343.333333333334,8541.666666666666
Z1,9,54,7052.5,6955.8125,7145.0
Z1,10,60,5780.833333333333,5693.3125,5868.354166666666
Z1,11,66,4605.0,4514.166666666667,4695.0
Z1,12,72,3608.3333333333335,3527.4791666666665,3686.6666666666665
Z5,1,6,4503.333333333333,4370.8125,4643.333333333333
Z5,2,12,12060.0,11887.458333333334,12258.333333333334
Z5,3,18,16202.5,16020.8125,16384.1875
Z5,4,24,16963.333333333332,16757.479166666668,17168.354166666664
Z5,5,30,16481.666666666668,16279.145833333332,16685.020833333332
Z5,6,36,15334.166666666666,15127.458333333334,15537.520833333334
Z5,7,42,13766.666666666666,13577.5,13969.1875
Z5,8,48,12066.666666666666,11904.166666666666,12230.020833333334
Z5,9,54,10347.5,10199.125,10512.520833333334
Z5,10,60,8709.166666666666,8565.0,8845.0
Z5,11,66,7195.833333333333,7074.145833333334,7315.833333333333
Z5,12,72,5853.333333333333,5744.166666666667,5956.666666666667
