zona_origen,zona_destino,tipo_destino,evacuados_media,ic95_inferior,ic95_superior,porcentaje_del_flujo_origen
Z1,Z1,refugio_oficial,26806.666666666668,26635.0,26977.541666666668,0.5820892821598538
Z1,Z2,otra_zona,4853.333333333333,4730.0,4976.666666666667,0.10538696777228887
Z1,Z3,otra_zona,4812.5,4683.3125,4945.020833333333,0.10450029857228163
Z1,Z4,otra_zona,4741.666666666667,4641.666666666667,4841.6875,0.10296219893961603
Z1,Z5,otra_zona,4838.333333333333,4726.666666666667,4946.666666666667,0.10506125255595967
Z2,Z1,otra_zona,7227.5,7094.958333333333,7361.6875,0.14787471654362247
Z2,Z2,refugio_oficial,20405.833333333332,20227.5,20585.854166666664,0.41750353787659206
Z2,Z3,otra_zona,7072.5,6943.3125,7198.333333333333,0.1447034151165368
Z2,Z4,otra_zona,7055.0,6852.458333333333,7245.041666666666,0.14434536495541425
Z2,Z5,otra_zona,7115.0,6959.166666666667,7286.6875,0.1455729655078345
Z3,Z1,otra_zona,3538.3333333333335,3457.4791666666665,3620.8333333333335,0.07742382524023997
Z3,Z2,otra_zona,3529.1666666666665,3419.145833333333,3631.6874999999995,0.07722324538210462
Z3,Z3,refugio_oficial,31535.0,31345.8125,31711.666666666668,0.6900311810506737
Z3,Z4,otra_zona,3580.8333333333335,3461.6666666666665,3690.0,0.07835378640068562
Z3,Z5,otra_zona,3517.5,3393.3333333333335,3651.6666666666665,0.07696796192629601
Z4,Z1,otra_zona,7940.833333333333,7794.145833333334,8100.833333333333,0.16094652568996387
Z4,Z2,otra_zona,8154.166666666667,7998.3125,8297.520833333334,0.16527041178258964
Z4,Z3,otra_zona,8212.5,8080.833333333333,8338.333333333334,0.16645272438604197
Z4,Z4,refugio_oficial,17148.333333333332,16987.479166666668,17309.166666666668,0.3475661250548931
Z4,Z5,otra_zona,7882.5,7746.666666666667,8013.354166666666,0.1597642130865115
Z5,Z1,otra_zona,2360.0,2295.0,2428.3333333333335,0.05441863146365366
Z5,Z2,otra_zona,2338.3333333333335,2281.645833333333,2394.1874999999995,0.05391902538383198
Z5,Z3,otra_zona,2360.0,2271.6666666666665,2446.6666666666665,0.05441863146365366
Z5,Z4,otra_zona,2437.5,2349.1666666666665,2535.8333333333335,0.05620568397993889
Z5,Z5,refugio_oficial,33871.666666666664,33683.333333333336,34045.020833333336,0.7810380277089217
